mistake,correct
實致名歸,實至名歸
將心俾己,將心比己
將心彼己,將心比己
張心比己,將心比己
對正下藥,對症下藥
對薄公堂,對簿公堂
小賭宜情,小賭怡情
小題大造,小題大做
小數族裔,少數族裔
小數民族,少數民族
小見多怪,少見多怪
上方寶劍,尚方寶劍
屍橫片野,屍橫遍野
陳出不窮,層出不窮
鋒迴路轉,峰迴路轉
風迴路轉,峰迴路轉
左右逢緣,左右逢源
巧立明目,巧立名目
戴眼識人,帶眼識人
評心而論,平心而論
平衡宇宙,平行宇宙
平衡時空,平行時空
平起平座,平起平坐
年終無休,年中無休
年時已高,年事已高
幸災落禍,幸災樂禍
庸姿俗粉,庸脂俗粉
廢事彩你,廢事睬你
廢話小講,廢話少講
引疚辭職,引咎辭職
引蛇出動,引蛇出洞
言外之音,弦外之音
張弛有道,張弛有度
張馳有度,張弛有度
詢眾要求,徇眾要求
得不嘗失,得不償失
得嘗所願,得償所願
得串進尺,得寸進尺
鬆容不迫,從容不迫
從詳計議,從長計議
重頭到尾,從頭到尾
心率不正,心律不正
心浮氣燥,心浮氣躁
心灰已冷,心灰意冷
心煩氣燥,心煩氣躁
心恨手辣,心狠手辣
生理準備,心理準備
心甘命底,心甘命抵
心理有數,心裏有數
心路歷情,心路歷程
生路歷程,心路歷程
至在參與,志在參與
念念不忙,念念不忘
忽發其想,忽發奇想
急攻近利,急功近利
急流湧退,急流勇退
怨天由人,怨天尤人
怪唔知得,怪唔之得
怪唔得知,怪唔得之
似熟賣熟,恃熟賣熟
似老賣老,恃老賣老
持老賣老,恃老賣老
晃然大悟,恍然大悟
恐佈主義,恐怖主義
恐佈份子,恐怖份子
恐佈組織,恐怖組織
恐佈襲擊,恐怖襲擊
恨死隔離,恨死隔籬
洽到好處,恰到好處
悉隨專便,悉隨尊便
情何以憾,情何以堪
情可以堪,情何以堪
情有可源,情有可原
情有可願,情有可原
情有獨鐘,情有獨鍾
惡性巡環,惡性循環
怒羞成怒,惱羞成怒
腦羞成怒,惱羞成怒
惹是生非,惹事生非
惺惺相識,惺惺相惜
以氣用事,意氣用事
愛不惜手,愛不釋手
慘不忍賭,慘不忍睹
慳番淡氣,慳番啖氣
慳返淡氣,慳返啖氣
成皇敗寇,成王敗寇
或多或小,或多或少
所剩無己,所剩無幾
手文之誤,手民之誤
手無串鐵,手無寸鐵
財高八斗,才高八斗
打回完形,打回原形
打情罵悄,打情罵俏
打鐵襯熱,打鐵趁熱
